x	y
670	111
79	146
850	454
895	758
177	390
126	667
867	581
811	908
740	348
50	983
325	654
285	812
831	215
374	387
394	206
181	974
591	445
133	344
34	228
944	578
455	347
877	743
836	390
957	465
951	651
266	699
629	446
538	877
58	266
439	523
131	190
68	381
8	101
695	280
182	106
111	136
243	244
906	775
915	444
45	899
683	946
129	786
293	325
789	766
307	133
714	174
756	783
922	253
844	111
387	730
205	568
451	584
0	429
836	7
472	453
880	18
100	301
555	401
974	837
625	491
