x	y
906	287
658	367
530	348
719	359
924	42
864	619
748	743
611	994
568	957
976	129
468	364
353	750
832	914
124	15
550	533
299	608
974	334
411	811
18	881
31	185
818	353
601	708
220	251
103	540
403	766
840	108
40	593
47	668
547	739
341	521
807	741
197	322
234	983
521	160
527	439
781	161
245	445
904	410
722	633
713	435
902	452
856	681
837	721
62	101
969	327
780	246
363	312
298	412
846	763
579	434
928	817
429	472
414	550
490	246
394	758
826	702
226	456
496	884
312	428
738	242
551	817
255	478
903	973
328	930
263	10
965	884
382	811
820	394
596	877
276	867
916	172
324	390
269	678
229	959
702	434
821	363
349	754
997	202
784	111
719	340
352	588
869	15
439	307
531	46
607	421
975	473
456	806
826	720
435	810
425	983
255	331
554	473
784	475
106	845
967	228
353	388
522	109
49	226
261	288
534	513
839	599
604	432
636	261
801	728
185	90
845	184
747	612
901	814
361	667
695	32
72	934
976	353
474	428
320	632
668	371
774	541
359	904
931	424
69	547
946	48
852	924
837	297
835	863
544	679
33	389
135	961
527	352
588	39
784	878
722	244
346	21
709	443
197	786
217	972
12	392
497	156
773	730
462	93
3	431
624	373
51	493
503	109
421	130
33	283
944	890
936	832
46	308
608	462
900	853
555	779
229	785
574	300
912	798
951	431
688	812
446	226
999	600
151	290
961	835
453	256
646	496
415	771
836	867
563	934
55	289
174	209
612	462
247	753
143	137
750	470
508	747
382	411
555	176
397	612
666	997
792	720
538	684
78	425
840	813
292	904
854	160
239	775
465	263
215	75
625	931
215	969
583	207
30	47
201	943
621	720
568	468
711	685
536	507
973	985
70	328
651	29
12	251
218	243
840	70
261	415
575	124
981	689
642	17
8	653
462	867
570	548
443	136
99	617
88	745
427	279
835	391
926	324
579	300
826	292
52	987
431	798
227	81
789	771
173	438
236	979
167	383
81	527
940	547
133	452
529	495
88	52
544	949
703	141
153	388
770	409
901	858
496	20
887	307
523	803
938	210
167	691
301	56
865	679
153	794
619	206
735	349
196	369
231	528
10	985
174	760
685	729
155	961
311	251
430	200
600	116
343	53
783	941
488	305
336	948
177	34
52	284
909	425
798	842
771	856
256	186
10	182
948	494
185	454
651	538
989	102
951	682
823	606
959	565
741	728
947	449
700	488
919	136
804	461
704	91
136	241
328	500
987	32
733	976
163	686
519	426
280	754
816	700
685	962
530	920
542	822
641	200
817	486
359	2
760	57
133	105
714	804
867	777
437	132
367	304
673	816
870	284
248	618
433	628
162	450
940	493
561	423
183	106
826	560
276	33
357	144
954	336
942	354
199	173
267	614
193	420
32	902
616	588
509	68
847	912
442	335
304	328
117	310
947	789
250	567
382	197
293	680
741	407
644	281
498	232
82	684
587	995
265	726
52	959
961	365
183	309
469	666
776	591
557	929
838	496
845	955
566	540
801	943
337	139
300	230
411	687
989	311
592	556
374	532
561	219
72	783
821	369
3	567
759	388
550	341
210	636
666	331
768	710
373	145
704	296
231	170
541	199
206	62
863	73
134	189
885	434
825	62
917	516
769	228
47	427
339	490
578	287
503	460
476	892
740	32
323	394
255	190
291	345
954	53
912	459
291	690
129	474
654	655
888	53
547	618
942	364
669	680
419	676
264	622
122	468
81	546
398	456
635	657
95	719
315	75
732	956
839	424
936	589
388	981
834	992
370	837
371	303
759	560
442	241
961	970
943	537
482	799
669	316
759	551
128	328
735	298
393	721
142	882
577	685
945	128
332	531
753	427
626	418
751	587
636	897
611	836
368	490
380	147
701	38
101	508
771	54
534	211
65	712
350	704
687	456
623	107
253	502
155	727
200	192
410	733
699	678
88	508
307	661
672	250
908	539
668	408
44	448
510	907
811	239
509	23
726	758
311	155
231	948
448	58
362	190
791	805
293	314
294	387
545	16
572	104
344	967
355	648
110	68
461	154
706	6
4	598
231	980
194	968
299	595
730	989
263	927
431	47
839	41
400	142
451	946
221	614
325	633
611	866
612	294
2	332
171	145
909	183
646	126
879	103
401	544
320	721
216	184
310	706
300	514
371	163
459	753
951	865
255	214
998	736
483	653
917	26
778	285
995	5
389	313
487	320
586	632
11	264
217	300
759	58
790	532
421	897
549	943
778	764
100	643
504	763
97	589
486	68
376	721
407	331
690	295
410	608
941	92
164	130
236	437
842	593
904	817
327	988
996	498
930	914
596	136
183	24
758	85
8	749
810	144
571	68
700	279
459	931
328	485
765	184
626	779
641	22
89	35
754	358
493	458
421	79
871	398
592	250
550	179
452	541
531	776
720	315
74	370
781	425
356	377
445	749
438	726
291	186
64	447
85	351
231	580
712	43
925	729
953	516
405	111
458	950
553	473
786	263
383	141
859	793
728	667
903	829
951	859
840	508
103	662
710	810
860	50
116	802
479	345
839	943
949	750
288	818
499	490
604	652
942	74
237	750
720	523
374	126
471	112
790	298
673	750
849	581
449	285
53	709
284	603
835	260
951	607
689	997
612	868
117	963
811	356
274	288
560	927
879	310
369	169
198	141
738	530
365	75
963	845
312	417
626	252
139	867
3	796
910	331
470	777
80	246
886	21
786	663
158	563
258	324
636	378
649	523
987	638
514	345
306	157
921	980
237	994
264	42
986	726
239	150
93	338
338	574
406	916
774	685
549	151
115	633
959	404
300	442
755	289
129	787
322	288
126	266
306	456
274	195
87	881
269	642
197	912
560	357
779	22
118	72
786	99
206	135
694	175
768	875
525	34
153	706
811	974
837	439
931	670
700	509
376	649
233	151
80	789
933	725
418	600
756	224
476	272
990	528
117	828
14	923
151	302
379	846
493	766
522	451
947	300
550	963
221	485
308	808
690	483
734	468
440	998
748	167
959	79
172	229
426	673
241	287
183	810
283	333
919	733
424	65
850	512
741	36
850	630
942	58
775	245
342	97
530	92
158	829
579	991
333	977
781	612
100	416
681	644
697	701
671	407
709	569
227	245
127	523
479	793
703	530
491	843
90	105
203	313
857	769
867	755
753	684
269	148
580	567
367	392
804	580
507	442
553	901
11	781
720	143
407	85
314	395
948	210
16	642
415	493
641	451
315	326
755	535
46	295
506	501
86	944
238	232
730	253
447	562
497	862
992	528
79	604
319	407
954	111
218	460
995	624
471	237
690	883
276	886
747	791
773	296
794	332
383	878
912	643
319	223
17	649
213	480
706	464
855	609
21	739
185	989
560	861
790	750
498	531
350	434
953	258
341	565
58	941
219	16
686	819
30	294
336	551
225	90
91	965
605	624
520	23
769	368
467	382
351	51
411	306
875	194
59	909
315	291
765	527
183	475
231	148
352	138
129	334
401	686
207	518
981	430
305	97
218	887
74	668
910	57
29	986
809	230
947	452
938	696
767	30
428	469
673	419
687	827
304	538
686	923
892	976
913	976
614	942
873	285
295	949
415	374
890	722
764	254
985	623
21	408
559	644
246	581
388	752
444	811
746	188
970	197
855	437
87	816
791	189
724	948
523	105
33	898
824	169
263	790
891	179
606	40
432	196
924	904
411	279
917	276
238	805
384	838
678	384
741	251
811	257
181	7
488	744
209	150
988	968
592	650
543	635
297	705
823	449
368	108
976	984
152	276
426	261
320	628
433	198
263	903
365	669
415	439
603	515
492	231
128	124
449	420
362	565
795	244
233	512
16	233
23	81
896	314
520	677
943	23
39	888
761	758
615	560
649	846
732	765
545	292
113	386
682	662
764	8
301	515
285	877
193	990
422	973
938	603
797	807
118	441
18	84
104	630
219	234
299	252
170	830
205	180
382	41
53	306
945	543
572	987
925	850
618	746
849	479
737	427
739	664
916	90
637	825
91	749
175	542
688	163
175	426
369	309
256	297
269	398
446	407
341	381
755	745
972	280
261	372
860	255
140	960
368	738
833	90
757	961
263	86
45	118
362	722
952	356
619	5
911	544
945	738
159	387
850	505
372	782
276	763
749	144
697	135
955	705
878	393
261	223
441	858
338	46
465	57
894	69
922	979
199	357
559	391
275	287
246	876
637	139
269	159
307	104
66	470
809	167
157	282
921	859
433	187
357	42
560	626
888	644
596	729
813	856
5	509
569	330
501	703
391	877
654	767
263	51
972	276
297	821
334	901
66	541
527	601
965	882
709	197
15	706
336	256
436	733
245	121
384	763
482	865
319	785
961	396
375	639
595	93
88	828
678	119
24	706
86	56
580	868
517	161
991	1
169	921
526	659
782	186
569	63
821	905
36	62
836	544
688	540
458	542
545	384
454	581
951	121
745	79
858	377
930	918
239	67
992	987
470	513
890	498
957	512
555	347
619	408
621	48
227	322
683	453
50	285
68	708
814	1000
747	594
694	259
713	711
94	697
954	720
97	490
102	718
464	377
642	514
42	991
913	764
426	129
354	198
930	750
133	770
869	751
72	378
729	557
442	770
44	941
50	53
181	868
180	20
26	70
267	534
780	182
525	326
581	58
357	784
601	99
217	380
213	968
625	782
923	593
583	866
768	24
675	175
820	694
978	614
180	831
355	294
105	800
16	373
775	738
955	377
934	354
170	260
387	793
910	705
52	991
823	764
366	895
903	548
103	475
548	349
558	113
497	372
681	198
63	110
422	98
959	704
377	938
87	854
247	484
445	149
469	911
270	513
823	766
898	540
308	259
300	302
276	15
82	599
896	235
622	756
84	698
48	68
832	357
211	694
180	69
249	698
671	246
675	196
28	992
276	19
212	406
201	499
887	960
203	334
641	280
173	331
355	837
945	384
504	344
540	48
476	792
959	979
262	235
922	136
582	739
390	698
103	924
769	939
614	345
313	424
628	1000
936	133
80	825
309	191
426	104
116	664
323	804
778	61
266	420
851	104
875	30
871	935
507	267
349	697
553	74
26	33
709	530
576	801
289	711
410	20
10	709
678	342
876	738
245	990
838	336
840	198
194	28
745	901
434	255
479	666
461	0
502	313
980	500
288	458
269	544
542	649
541	20
568	841
901	98
233	38
99	735
44	204
101	166
903	94
22	664
972	560
629	937
141	540
383	65
79	561
717	848
375	378
75	925
807	301
720	663
922	387
545	750
189	268
610	781
602	542
789	480
66	340
452	355
766	958
777	488
702	739
53	547
459	219
365	824
995	784
517	774
355	671
200	547
10	922
779	130
699	325
257	230
565	579
187	309
721	429
580	166
149	420
822	426
998	831
292	202
244	482
394	634
38	224
573	226
722	776
909	319
832	39
504	771
943	916
904	740
578	577
946	604
988	164
980	728
785	740
968	438
298	223
80	942
861	1
860	675
158	587
203	237
470	758
612	764
850	161
429	5
841	178
378	479
208	618
99	691
734	218
799	930
604	512
518	294
666	931
783	325
14	431
698	339
486	1000
891	708
765	911
333	23
107	716
775	338
294	687
196	230
423	819
466	142
54	591
356	314
643	693
683	385
609	641
542	864
111	78
696	759
329	189
817	434
562	578
164	175
751	201
836	306
194	285
533	555
530	276
971	692
561	29
41	470
848	167
54	493
300	299
332	289
470	647
164	440
641	158
938	144
674	230
7	164
422	472
305	795
620	71
310	554
226	712
489	148
347	989
806	407
764	671
368	338
164	685
518	813
69	753
4	599
5	188
484	336
523	994
229	824
900	130
929	65
721	381
8	773
395	140
802	710
632	120
403	101
735	776
501	407
866	502
757	934
129	920
725	463
669	170
937	748
156	967
653	776
560	240
447	71
526	796
212	329
323	155
156	265
971	735
400	930
758	674
517	304
259	289
763	125
403	449
421	253
26	580
195	527
799	549
457	139
466	102
655	656
930	270
913	473
960	418
783	974
782	847
348	584
401	683
507	520
564	906
717	115
858	818
31	891
293	14
268	203
731	271
500	705
274	598
112	814
464	932
991	458
983	287
896	740
263	645
649	837
256	552
291	642
85	609
152	629
487	974
835	556
818	846
352	395
210	648
326	911
59	986
583	959
799	33
575	603
666	441
539	403
517	692
291	515
72	698
128	987
25	620
763	642
317	326
488	711
721	417
242	60
826	7
679	221
230	110
595	128
545	358
575	91
936	136
760	913
334	920
495	480
247	527
635	623
447	198
379	593
91	809
344	133
448	405
639	977
618	510
748	569
220	691
655	999
812	892
991	522
658	88
363	601
573	342
362	520
388	38
279	571
225	555
827	256
992	937
326	71
904	98
692	902
149	959
709	567
219	694
388	519
135	59
227	329
391	906
335	775
760	839
23	893
333	390
596	911
601	700
709	216
59	741
744	962
734	276
844	960
719	772
769	119
848	63
256	980
985	497
858	989
248	816
381	989
588	619
803	235
571	243
988	473
919	846
92	529
478	846
615	318
501	2
994	600
482	332
590	653
164	858
256	637
950	24
272	158
173	713
330	48
457	471
428	64
354	995
92	277
456	621
42	920
863	168
792	885
644	50
708	105
468	739
707	346
947	560
830	982
171	799
177	775
804	538
639	284
204	137
60	678
436	489
445	143
639	276
87	252
88	716
528	110
932	442
355	306
954	190
711	801
50	944
278	824
85	406
779	409
503	913
27	210
111	779
849	727
738	348
422	192
728	349
476	737
863	577
768	435
439	317
400	491
285	588
669	687
528	278
148	809
160	268
301	302
170	512
341	1
83	77
883	579
519	649
141	852
242	211
858	710
731	316
933	296
914	183
581	519
551	829
745	660
251	731
196	665
286	718
844	284
291	59
998	458
888	326
481	792
79	319
981	620
443	241
303	635
13	830
114	625
408	313
730	521
629	894
143	169
798	657
386	931
772	63
378	758
398	118
316	446
904	886
560	419
448	69
82	142
215	877
560	457
586	973
495	1000
101	295
252	225
309	813
872	46
415	769
145	251
869	758
256	450
716	301
974	906
245	987
664	917
52	180
700	743
289	862
560	694
992	836
62	22
120	284
251	29
272	534
348	496
627	965
